"","Source","Date","Title","Authors","Text","Keywords"
"36","foxnews","2016-01-28 00:00:00","Fighter jets caused sonic booms along New Jersey coast, officials say","[]","Sonic booms heard and felt along the eastern shoreline were caused by military fighter jets conducting tests, officials said.

An F-35C, which has a top speed of nearly 1,200 mph, and an F-18 from Naval Air Station Patuxent River in Maryland were conducting supersonic testing off the coast Thursday afternoon, according to a Navy spokeswoman.

Residents reported hearing loud booms and feeling the ground and buildings shake from New Jersey to Long Island. The booms were heard as far away as Connecticut.

Related: 'Citizen scientists' use drones to map El Nino flooding

Navy spokeswoman Connie Hempel said supersonic tests flights are done almost daily in the same area but that most sonic booms aren't felt on land. They are conducted offshore in an area called the Test Track, parallel to the coast of the Delmarva Peninsula which is occupied by Delaware, Maryland and Viriginia.

Certain atmospheric conditions can increase the chance of hearing the booms.

Not an earthquake but a sonic boom in New Jersey: https://t.co/eUr4sB28Wm pic.twitter.com/TQFlkGr633  USGS (@USGS) January 28, 2016

Thursday's tests were done around 1:30 and 2:30 p.m.

A geophysicist with the U.S. Geological Survey said there were nine total booms. Bruce Presgrave said recordings show they occurred over the span of 90 minutes.

The Department of Defense employs a hotline for noise disturbances for the Naval Air Station in Patuxent River. Questions can be referred to 866-819-9028.","[]"
"37","foxnews","2016-02-19 00:00:00","Archaeologists in the UK unearth 3,000-year-old wheel","[]","Archaeologists in the U.K. have discovered a 3,000-year-old wheel, a find which broadens understanding of life in Bronze Age Britain.

The wooden wheel was unearthed at the Must Farm archaeological site in Cambridgeshire.

Related: Medieval shipwreck hauled from the deep

The wheel, which is thought to date from 1100-800 B.C., is 3.2 feet in diameter and so well preserved that it still contains its hub. The find is unprecedented in terms of size and completeness, explained Historic England, in a statement on its website.

This remarkable but fragile wooden wheel is the earliest complete example ever found in Britain, said Duncan Wilson, chief executive of Historic England, in the statement.

Related: Archaeologists uncover 7,000-year-old settlement in Jerusalem

The wheel is the latest find on an ancient site that comprises large wooden round houses built on stilts that plunged into a river after a fire 3,000 years ago.

""The discovery of the wheel demonstrates the inhabitants of this watery landscapes links to the dryland beyond the river, said David Gibson, archaeological manager at the Cambridge Archaeological Unit in the University of Cambridges Division of Archaeology.","[]"
"38","foxnews","2016-02-17 00:00:00","Nude, bodypainted Lindsey Vonn does pull-ups for Sports Illustrated","[]","Eat your heart out, Tiger Woods.

A nude Lindsey Vonn flaunted her impressive physique in a new Instagram video, which she shared on Tuesday. Covering her lady bits in body paint  until she moves into the light, at least  the blond beauty also showcased her strength as she did a handful of pull-ups on the set of a Sports Illustrated shoot.

Even when I was on set I never stopped training .. now its back to work though. Excited to race in Italy but definitely bummed I missed all the @si_swimsuit fun back in the states. #strongisbeautiful #backtowork, Vonn wrote.

Click here to see Vonn's kind of NSFW training session

The 31-year-old has been on fire during this skiing season after enduring a series of unfortunate injuries. After breaking her ankle last summer, Vonn also needed stitches following a dog bite in November.

Vonn joins Ashley Graham, Ronda Rousey and Gigi Hadid, among others, featured in this years Sports Illustrated Swimsuit issue.

This story first appeared in the NY Post.

Four4Four: Can Human Barbie invasion be stopped?","[]"
"39","foxnews","2015-11-11 00:00:00","History of camouflage in pictures","['Peter Suciu']","Two very different camouflage pattern helmet covers that were used by the U.S. military in Iraq. The Desert Battle Dress Uniform (DBDU) was the American arid-environment camo pattern that was developed in the 1980s and used during the Gulf War in 1991. It features six colors but was widely known as the ""Chocolate-Chip Camouflage"" as it resembled chocolate-chip cookie dough. It was replaced by the Desert Camouflage Uniform (DCU) that was used during Operation Iraqi Freedom. The DCU features a three-color desert pattern that was created primarily for lower, more open and less rocky desert terrain. Desert soil samples from Saudi Arabia and Kuwait were considered in the DCU's development. (Photo: Peter Suciu)","[]"
"40","foxnews","2016-02-18 00:00:00","Is Chipotle really America's 'emotionally abusive boyfriend?'","['Grace E']","On Sunday, TV host and comedian John Oliver skewered Chipotle over its food safety problems.

The host of HBO's ""Last Week Tonight,"" called Chipotle ""America's preferred over-the-counter laxative.""

He ran down a list of Chipotle's problems over the past months, including E. Coli, salmonella and norovirus outbreaks. He also had a mock promo showing mice scurrying over food and cited a fake report about a live bird living in a Florida Chipotle as recently as January.

About America's continued love of the chain, Oliver quips:

""They know it's bad and they want it even more: Chipotle is now officially America's emotionally abusive boyfriend.""

""That's harsh,"" Darren Tristano, president of Technomic, a Chicago-based food research firm said about Oliver's comment. ""They shouldnt be left off the hook, but they deserve the chance to really get back on track.""

Over the weeks, Chipotle has been the target of jokes and critics alike --and rightly so.

The Food and Drug Administration reports 55 people were infected with E. Coli alone across the U.S., which resulted in 21 reported hospitalizations. The chain is now the focus of a criminal investigation by the FDA and it has been slapped with a slew of lawsuits. The latest one --this week--is from a shareholder suing Chipotle, alleging the fast food chain made false and misleading statements about its business to investors.

Chipotle isnt the only food supplier to have a major outbreak of food-poisoning. In the 1993, Jack in the Box had an E.Coli crisis stemming from undercooked beef patties. More recently, Blue Bell ice cream experienced a listeria outbreak, which forced the tubs off of store shelves. Both companies were able to fix their problems and turn their image around.

But Chipotle's marketing has centered on the idea that it makes a high quality food. These outbreaks, and Chipotles problems in tracing the source, puts that question.

As way help its tarnished image, Chipotle earlier this month closed more than 2,000 locations to get employees up to speed on changes to its food safety measures. It also announced a $10 million investment in local farmers that supply ingredients to the food company. To help build some media buzz around these efforts, chains gave away free burritos.

The give-away was ""clearly part of a much larger plan to rebuild trust with the customers,"" Bruce Hennes, managing partner of Hennes Communications, a crisis communications firm based in Cleveland, told the Cleveland Plain Dealer.

Just how long it will take for the company turn around public opinion is still unclear, but some experts are predicting positive growth figures as early as the end of the year.

Is that's hard to believe? Tristano says not really, given the ""overwhelming"" loyalty they have with some customer groups, especially the 18-35 male demographic.

""Our research indicates that American consumers are very forgiving with restaurant brands they are loyal to and have developed both an affinity and frequency with,"" said Tristano.

So is Chipotle America's ""emotionally abusive boyfriend?"" Sounds like for some, it's more like a relationship on the mend.","[]"
"41","foxnews","","Neil Cavuto Premium Podcast","['Fox News Radio', 'Alan Colmes']","No one covers the world of business, politics and more  Your World  like Neil Cavuto!

You can now get a daily audio podcast of Fox News Channels Your World that you can download and listen to whenever you wish.","[]"
"42","foxnews","2016-02-21 00:00:00","18-year-old charged for impersonating Ohio senator","[]","An 18-year-old Ohio man was charged with impersonating a peace officer and telecommunications fraud after posing as a state senator and giving a speech to a high school class, authorities said Saturday.

Izaha Akins, of Marion, visited Mohawk High School in December and claimed to be a lawmaker who was going to replace another senator who was planning on resigning due to an illness. Akins told the school he was second in line for the appointment after the first choice declined, according to The Toledo Blade. He also gave a speech to students.

School officials realized they were duped weeks later after Sen. David Burke, of Marysville, showed up to speak weeks later, as scheduled. Burke told the Associated Press in an email Friday that when he learned about the hoax, he and the high school immediately began working with police.

Akins told The Toledo Blade he wanted to make a point about school security in small communities.

""These country schools think it can't happen to them,"" Akins told The Blade in a brief interview. He said he wanted to ""prove a point  that these kinds of things can happen. They could easily have Googled me, and they didn't.""

School officials said Burke was scheduled to speak to a class at Jan. 14 when Akins called to tell them he was his replacement. He arranged to visit Dec. 15, provided his real name, presented his drivers license at the school that afternoon, got a tour of the school from the principal, then gave his presentation and left, Mohawk Schools Superintendent Ken Ratliff said.

""The presentation was about being active in politics, political processes,"" Ratliff said. ""Everyone thought it was legit; bought into it, including the teacher.""

Authorities said Reineke Ford provided a car and driver for the day to the supposed legislator. The Blade said Reineke Motors general manager Tony Flood said it's not unusual for the dealership to help the nearby school district.

Wyandot County Sheriff Mike Hetzel said no one at the school was in any danger, and a sheriff's deputy was at the school during the time of the visit.

Ratliff said, though, that the district now takes extra steps to verify visitors' identities.

The Associated Press contributed to this report.","[]"
"43","foxnews","2016-02-19 00:00:00","What can the New Hampshire primary results tell us about South Carolina?","[]","With the New Hampshire primary behind us, one of the next stops on the presidential nominating calendar is South Carolina, where Republicans will vote on Feb. 20 and Democrats on Feb. 27. Will the New Hampshire results tell us much about how South Carolina will vote? History says . . . not necessarily. Heres a look at recent contested primary results.

1988

N.H. Republican primary winner: George H.W. Bush

S.C. Republican primary winner: George H.W. Bush

Republican nominee: George H.W. Bush

N.H. Democratic primary winner: Michael Dukakis

S.C. Democratic primary winner: Jesse Jackson

Democratic nominee: Michael Dukakis

1992

N.H. Republican primary winner: George H.W. Bush

S.C. Republican primary winner: George H.W. Bush

Republican nominee: George H.W. Bush

N.H. Democratic primary winner: Paul Tsongas

S.C. Democratic primary winner: Bill Clinton

Democratic nominee: Bill Clinton

1996

N.H. Republican primary winner: Pat Buchanan

S.C. Republican primary winner: Bob Dole

Republican nominee: Bob Dole

2000

N.H. Republican primary winner: John McCain

S.C. Republican primary winner: George W. Bush

Republican nominee: George W. Bush

N.H. Democratic primary winner: Al Gore

S.C. Democratic primary winner: Al Gore

Democratic nominee: Al Gore

2004

N.H. Democratic primary winner: John Kerry

S.C. Democratic primary winner: John Edwards

Democratic nominee: John Kerry

2008

N.H. Republican primary winner:John McCain

S.C. Republican primary winner: John McCain

Republican nominee: John McCain

N.H. Democratic primary winner: Hillary Clinton

S.C. Democratic primary winner: Barack Obama

Democratic nominee: Barack Obama

2012

N.H. Republican primary winner:Mitt Romney

S.C. Republican primary winner:Newt Gingrich

Republican nominee: Mitt Romney","[]"
"44","foxnews","2016-02-09 00:00:00","Flip for these pancakes on Pancake Day","[]","Flip for these pancakes on Pancake Day

Today is Shrove Tuesday and that means eating lots of pancakes. Originating from the Old English word ""shrive"" which is means ""absolve"" --the day is seen as a day to enjoy yummy foods before the fasting of Lent. So celebrate by whipping up one of these fabulous pancake creations.","[]"
"45","foxnews","2016-02-19 00:00:00","Virgin Galactic unveils new SpaceShipTwo spaceplane","[]","Virgin Galactic unveiled the latest version of its SpaceShipTwo spaceplane Friday.

The private space tourism company revealed the plane during an event at the Mojave Air and Spaceport in California. Professor Stephen Hawking named the spaceplane Virgin Spaceship (VSS) Unity in a recorded speech.

Related: Google this: Israeli scientists eye $20M moon race prize



""Together, we can make space accessible in a way that has only been dreamt of before now, and by doing so can bring positive change to life on Earth,"" said Virgin Group Founder Sir Richard Branson. ""Our beautiful new spaceship, VSS Unity, is the embodiment of that goal and will provide us with an unprecedented body of experience which will in turn lay the foundations for Virgin Galactic's future.""

Ladies and gentlemen, please meet the new #SpaceShipTwo. More photos and info coming soon. pic.twitter.com/cNCTDj3cHv  Virgin Galactic (@virgingalactic) February 19, 2016

The spaceplane is designed to take a crew of two pilots and six passengers to space.

Virgin Galactic's spaceline fleet now consists of VSS Unity and two carrier aircraft - WhiteKnightTwo VMS Eve for transporting humans to space and the 747-400 Cosmic Girl for the company's LauncherOne satellite launch service.

Related: Virgin Galactic will launch satellites from a Boeing 747

The company will now perform systems verification on the new spaceplane, followed by ground and flight tests in Mojave and its future home in Spaceport America, N.M. In a press release, Virgin Galactic said that it has already started work on the next SpaceShipTwo.



VSS Unity replaces the first SpaceShipTwo, which broke apart on Oct. 31, 2014, during its fourth rocket-powered flight. Wreckage fell to the Mojave Desert.

The investigation into the mid-flight break up found that co-pilot Michael Alsbury prematurely unlocked the so-called feathering system that is intended to slow and stabilize the craft as it re-enters the atmosphere, according to the Associated Press. Alsbury was killed, but pilot Peter Siebold, although seriously injured, parachuted to safety.

Related: Virgin Galactics SpaceShipTwo crashes, one pilot killed



A National Transportation Safety Board investigation found that Scaled Composites, a company that was developing SpaceShipTwo with Virgin Galactic and was responsible for its test program, should have had systems to compensate for human error, the AP reported.","[]"
"46","foxnews","","Watch Fox News Channel and Fox Business Network Online","[]","","[]"
"47","foxnews","2016-02-20 00:00:00","Brice Johnson's shot didn't count, but it's worth seeing","[]","This would have been the first 3-pointer of Brice Johnson's career.

However, the North Carolina senior forward did not beat the halftime buzzer before releasing this near full-court heave.

It may not have counted...but this full court shot by Brice Johnson was ridiculous. https://t.co/tUWTHgvLaR  CBS Sports CBB (@CBSSportsCBB) February 20, 2016

Fortunately for Johnson, this putback slam, which sparked a 10-2 run, did count earlier in the half.

Put back jam or an alley-oop?



Either way, this Brice Johnson dunk worked out well for @UNC_Basketball. https://t.co/oLbHRRv7lc  CBS Sports CBB (@CBSSportsCBB) February 20, 2016

The Tar Heels, ranked No. 5 in the Associated Press poll, still entered the break with a 42-33 lead over No. 11 Miami.","[]"
"48","foxnews","2016-02-21 00:00:00","4 Missouri fire deaths investigated as possible homicides","[]","The deaths of four people in a northwest Missouri fire are being investigated as possible homicides, but there are no suspects, authorities said Saturday.

The fire at a rural home south of Edgerton in Platte County was reported just before midnight Friday. Sheriff's Capt. Erik Holland said the house was fully engulfed in flames when firefighters arrived.

""Based on some of the preliminary investigation by the sheriff's office and the state fire marshal, we have determined that there are suspicious situations around the burning of the building and the deaths of the four individuals,"" Holland said Saturday. ""We're going to treat this investigation as a homicide at this point in time.""

Investigators including the state fire marshal and medical examiner were at the scene Saturday.

Two adult females, a third adult and an infant died in the fire. Holland said investigators haven't been able to determine whether two of the victims were male or female because of the extent of their injuries.

Authorities were going through what's left of the single-story, ranch-style home to determine if other victims were inside.

Sheriff Mark Owen said there was no time frame for releasing the victims' identities. He said there were no suspects yet.

""Our officers know the people that live here, and, of course, any time you have tragedy with a loss of life, let alone three and an infant, it's a rough day,"" Owen said.

Brenda Wilder, who works at Harner's Cafe in Edgerton, said she knows the family who lived in the house.

""It's devastating. When something like this happens, the whole town is crushed,"" she said.","[]"
"49","foxnews","2016-02-18 00:00:00","It's a miracle! Hollywood finally tells a great Bible story","['Todd Starnes']","Lets be honest. Hollywood does not exactly have the best track record when it comes to producing accurate faith-based movies. Remember the giant rock creatures from Noah?

So when I heard that Sony Pictures was about to release a faith-based film called Risen, I was a bit skeptical. Typically faith-based movies are faith-bashing movies.

Click here to get Todds American Dispatch  a must-read for conservatives.

And when Risen earned three-and-a-half stars from the left wingers at the Seattle Times, I was incredulous.

But when I saw the films trailer, I was astonished  Hollywood got it right.

Risen is a powerful telling of the aftermath of the resurrection of Jesus told from the perspective of a non-believer  a Roman military officer.

Joseph Fiennes plays Clavius, assigned to investigate the disappearance of Jesus body. Its like an old school detective noir story  think C.S.I. Jerusalem.

PODCAST: Listen to Todds interview with Risen star Joseph Fiennes.

Its a movie that sees the resurrection through the eyes of a non-believer,"" Fiennes told me. Its a wonderful, fresh way in seeing the story of Christ unfold through the eyes of a skeptic.

Fiennes is well aware of Hollywoods past attempts to bring Bible stories to the big screen. Anybody choke on their popcorn during Noah and Exodus: God and Kings?

The ever-diplomatic Fiennes did not name names, but he did refer to revisionist films that polarized a lot of people. On the other hand there are the cinephiles who took issue with preachy and conservative and low production value Christian films that did not speak to them.

Thats why Affirm Films and Sony Pictures went the extra mile to make sure they got Risen right.

We strived very hard in getting the balance between cinema and Scripture, Fiennes said. Working with the church communities in the process of making the film has allowed us to stay as true as possible to Scripture.

At the same time, they were also tasked with producing a solid work of art.

Its a film and we want people to have a great cinematic experience, Fiennes told me.

In other words  its a night at the movies  not a Sunday morning church service.

We are not selling religion or pushing religion, he said. We are pushing for great cinema and great story telling and I believe we got the balance right.

And so do many evangelical Christian leaders  most notably revered media critic Ted Baehr, chairman of the Christian Film and Television Commission.

It is a very powerful dramatic movie, Baehr said in a video posted on his website. Its a powerful heart-rending story. I recommend it for every Christian to take their friends to see Risen.

The film was also endorsed by a group of prominent Christian leaders and ministers.

Its a movie that makes you think, said Chris Williamson, pastor of Strong Tower Bible Church. Its not your typical Christian-themed movie  even though its dominated with Christian themes. If you are an atheist, a new believer, an unbeliever  I think you can find yourself in this film.

Renowned Christian leader Rick White attended a screening of the film in Tennessee. He said the film demonstrates that its okay to ask the hard questions on your spiritual journey.

Mr. Fiennes and Affirm Films and Sony Pictures have demonstrated a deep respect for the Christian faith. And in doing, so they have produced a film that will encourage and challenge and entertain a very diverse audience.

So as a fellow believer, Id like to share these words with Sony Pictures --- thank you.

He is Risen. He is Risen Indeed!

Todd Starnes is host of Fox News & Commentary, heard on hundreds of radio stations. His latest book is ""God Less America: Real Stories From the Front Lines of the Attack on Traditional Values."" Follow Todd on Twitter@ToddStarnes and find him on Facebook.

","[]"
"50","foxnews","","Power Play: Kraushaar Takes Five","[]","","[]"
"51","foxnews","2016-02-21 00:00:00","Marlins adopt policy of no facial hair under Mattingly","[]","JUPITER, Fla. (AP) For the first time in his major league career, Don Mattingly's team has a policy of no facial hair.

And as the Miami Marlins' new manager, he's the one enforcing the rule.

The Marlins allowed players to have beards the past two years, but that has changed under an organizational policy adopted after Mattingly was hired.

Mattingly said Sunday he didn't care whether players were allowed to have beards, goatees or mustaches, but supported the new rule.

Mattingly wore a mustache when he was an All-Star first baseman for the Yankees. In 1991 he was benched for refusing to cut his hair, and says his complaint was that the rule was not being enforced equitably among everyone on the team.

Many Marlins sported facial hair last season.","[]"
"52","foxnews","2016-02-18 00:00:00","Red Sox Boss Dave Dombrowski Now Selling His $2.5M Michigan Mansion","[]","A few months after purchasing his new Beantown abode, Dave Dombrowski, president of the Boston Red Sox, has listed the six-bedroom estate in Bloomfield Hills, MI, that served as home base for the baseball exec and his family during his 14-year tenure with the Detroit Tigers.

""Our kids grew up there,"" says Dombrowski's wife, Karie Ross. ""It was perfect for our situation.""

Now on the market for $2.5 million, the nearly 2-acre property offers more than enough room for fun and games -- and entertainers will love the outdoor amenities, like a pool, tennis court, slate patio, and built-in grill.

""We had so many parties. I can't count how many baseball and football games we played, because the lot is so big,"" Ross says.

Even Michigan's rough winter weather doesn't take away from this house's relaxing nature. Buyers will find a half-dozen cozy hideouts -- including an enormous bay window in the living room perfect for camping out in comfortable chairs while watching the snow fall. You might even spot some wildlife visitors, like deer, fox, and maybe even a coyote.

""We have sat there so many times in the holidays and watched it snow,"" says Ross. ""It's picture- perfect.""

To cap off the day, spend the evening soaking in the calming master bathroom, whose rose tones and white walls make for an elegant escape -- and its ""his and hers"" division leaves room for everyone to relax without stepping on each other's toes.","[]"
"53","foxnews","2014-01-31 00:00:00","10 deadly foods you probably have in your kitchen","[]","Humans are one of the few creatures on this planet who have the capability of ignoring our basic survival instinct. We jump out of perfectly good airplanes  something that still sets off alarms in the most veteran skydivers  and we push ourselves to the edge of death and back with physical demands on our bodies that defy reason with activities like ultra-marathons in the desert, living in microgravity, and setting the world record for holding ones breath under water.

Yet as contradictory as it sounds, testing these limits is probably what makes us feel the most human or the most attuned to nature and our own potential  particularly when it comes to soaring above the skies, jumping eight feet in the air... and eating the most bizarre, even dangerous, dishes set in front of us on the dinner table.

What are some of the deadliest foods the world has ever seen? Poisonous or harmful by design, not accident, and something that has us questioning our sanity when we choose to take a bite?","[]"
"54","foxnews","2016-02-20 00:00:00","Former Democratic official: Go f yourself, Bernie","['Fox News Radio', 'Alan Colmes']","You May Be Interested In...","[]"
"55","foxnews","","Michigan gunman executes 6-hour shooting spree","[]","","[]"
"56","foxnews","2016-02-21 00:00:00","Apollo 10 astronauts reported hearing odd 'music' on far side of moon","[]","The astronauts who flew the dress rehearsal for the first lunar landing reported hearing mysterious outer space-type music while flying behind the moon in May 1969.

The case of the odd, unexplained whistling noise is uncovered during an upcoming episode of the Science Channel series, NASAs Unexplained Files. The episode focuses on a strange event experienced by the crew members of Apollo 10, a mission which flew to the moon, entered lunar orbit and got within 5,000 feet of the moons surface in preparation for Apollo 11s historic flight two months later.

The Apollo 10 astronauts  Tom Stafford, John Young and Eugene Cernan  can be heard on recordings from the flight talking about the strange sound, and whether to tell NASA about it.

It sounds like, you know, outer space-type music, one of the astronauts says.

Shall we tell [NASA] about it? an astronaut asks.

I dont know, another replies. We ought to think about it.

Theres no record of the astronauts discussing the noise with NASA or with the public. Its unclear if the astronauts ever heard the noise on subsequent passes on the far side of the moon or if other astronauts on subsequent missions heard the sound. Young eventually flew back to the moon and walked on it as the commander of Apollo 16. Cernan commanded the Apollo 17 mission and was the last man to walk on the moon. Stafford flew in space again, but never journeyed back to the moon.

The May 1969 tapes were recorded while Stafford, Young and Cernan were on the far side of the moon, out of radio communication with Earth. The whistling sound lasted nearly the entire hour the astronauts were out of touch. Later, the recordings were sent back to Mission Control where they were transcribed, archived and classified, per protocol.

The conversation was eventually unearthed in 2008.

Some technicians have speculated the sound may have originated from interference from VHF radios on the command module and lunar module interacting with each other, according to researcher and author Andrew Chaikin.

But not everyone buys that explanation.

The Apollo 10 crew is very used to the kind of noise that they should be hearing, Apollo 15 Command Module Pilot Al Worden said in a clip from the episode. Logic tells me that if there was something recorded on there, then there was something there.","[]"
